Pincode, isOda, Zone
148104, True, N3
148105, True, N3
148106, True, N3
148107, True, N3
148108, True, N3
148109, True, N3
151001, False, N3
151002, False, N3
151003, False, N3
151004, False, N3
151005, False, N3
151006, False, N3
151007, False, N3
151101, False, N3
151102, False, N3
151103, True, N3
151104, True, N3
151105, True, N3
151106, True, N3
151108, True, N3
151111, True, N3
151201, False, N3
151202, True, N3
151203, True, N3
151204, True, N3
151205, True, N3
151206, True, N3
151207, True, N3
151208, True, N3
151209, True, N3
151210, True, N3
151211, True, N3
151212, True, N3
151213, True, N3
151214, True, N3
151301, True, N3
151302, True, N3
151401, False, N3
151501, True, N3
151502, True, N3
151503, True, N3
151504, True, N3
151505, True, N3
151506, True, N3
151507, True, N3
151508, True, N3
151509, True, N3
151510, True, N3
152001, True, N3
152002, True, N3
152003, True, N3
152004, True, N3
152005, True, N3
152020, False, N3
152021, True, N3
152022, True, N3
152023, True, N3
152024, True, N3
152025, True, N3
152026, True, N3
152028, True, N3
152031, True, N3
152032, True, N3
152033, True, N3
152101, True, N3
152102, True, N3
152104, True, N3
152107, True, N3
152112, True, N3
152113, True, N3
152114, True, N3
152115, True, N3
152116, True, N3
152117, True, N3
152118, True, N3
152120, True, N3
152121, True, N3
152122, True, N3
152123, True, N3
152124, True, N3
152125, True, N3
152126, True, N3
152127, True, N3
152128, True, N3
152129, True, N3
152130, True, N3
152131, True, N3
152132, True, N3
160001, False, N1
160002, False, N1
160003, False, N1
160004, False, N1
160005, False, N1
160006, False, N1
160007, False, N1
160008, False, N1
160009, False, N1
160010, False, N1
160011, False, N1
160012, False, N1
160013, False, N1
160014, False, N1
160015, False, N1
160016, False, N1
160017, False, N1
160018, False, N1
160019, False, N1
160020, False, N1
160021, False, N1
160022, False, N1
160023, False, N1
160024, False, N1
160025, False, N3
160026, False, N1
160027, False, N1
160028, False, N1
160029, False, N1
160030, False, N1
160031, False, N1
160032, False, N1
160033, False, N1
160034, False, N3
160035, False, N3
160036, False, N3
160037, False, N1
160038, False, N3
160039, False, N1
160040, False, N1
160041, False, N3
160042, False, N1
160043, False, N3
160044, False, N3
160045, False, N3
160046, False, N1
160047, False, N3
160048, False, N1
160049, False, N1
160050, False, N3
160051, False, N1
160052, False, N3
160053, False, N1
160054, False, N3
160055, False, N3
160056, False, N3
160057, False, N1
160058, False, N1
160059, False, N3
160060, False, N1
160061, False, N3
160062, False, N3
160063, False, N3
160064, False, N3
160065, False, N3
160066, False, N3
160067, False, N1
160068, False, N3
160069, False, N3
160070, False, N3
160071, False, N3
160073, False, N1
160074, False, N1
160079, False, N1
160082, True, N1
160101, False, N1
160102, False, N1
160103, False, N3
160104, False, N1
160106, False, N1
162630, False, N3
166031, False, N1
170001, False, N4
171001, False, N4
171002, True, N4
171003, True, N4
171004, True, N4
171005, True, N4
171006, True, N4
171007, True, N4
171008, True, N4
171009, True, N4
171010, True, N4
171011, True, N4
171012, True, N4
171014, True, N4
171018, True, N4
171019, True, N4
171102, True, N4
171103, True, N4
171201, True, N4
171202, True, N4
171204, True, N4
171205, True, N4
171206, True, N4
171207, True, N4
171208, True, N4
171209, True, N4
171210, True, N4
171211, True, N4
171212, True, N4
171213, True, N4
171214, True, N4
171215, False, N4
171218, True, N4
171219, True, N4
171220, True, N4
171222, True, N4
171223, False, N4
171225, True, N4
171301, True, N4
171302, True, N4
171303, True, N4
171304, True, N4
172001, True, N4
172021, True, N4
172022, True, N4
172023, True, N4
172024, True, N4
172025, True, N4
172026, True, N4
172027, True, N4
172028, False, N4
172029, True, N4
172030, True, N4
172031, True, N4
172033, True, N4
172034, True, N4
172101, True, N4
172102, True, N4
172103, True, N4
172104, True, N4
172105, True, N4
172106, True, N4
172107, True, N4
172108, True, N4
172110, True, N4
172111, True, N4
172115, True, N4
172116, True, N4
172201, True, N4
173001, True, N4
173002, True, N4
